n,error,time

5,0.0002691418105704,1563800
10,0.0003238980412934,6331100
15,0.0112046027475471,17358800
20,0.0541572111514376,25445600
25,0.1258478157369002,29743300
30,0.2039809001905882,81944500
35,0.2694363349771466,81806700
40,0.3140916514713397,148786800
