n,error,time
5,0.0002691418105704,297400
10,0.0003246903219901,1162600
15,0.0114871780667442,4280400
20,0.0568354071533013,15650900
25,0.1352397494382986,26208900
30,0.2249120336369546,37610700
35,0.3059460717059011,65266600
40,0.3690294536268859,123096000
