n,error,time

5,0.0002691418105704,1509900
10,0.0003246887901421,6151000
15,0.0114802995789295,18875400
20,0.0566379953977247,25126300
25,0.1339581109891644,31521300
30,0.2206782743445958,106267300
35,0.2962400782807085,99441200
40,0.3511676649264743,170728000
