N,GTD,PGD,GTF,PGF
100,0.00000000029232194870,0.00000000000518352199,0.13788677752017974854,0.00184111052658408880
500,0.00000000216229796299,0.00000000001587910437,0.28528064489364624023,0.00310655497014522552
700,0.00000000297130331213,0.00000000001113803301,1.48648238182067871094,0.00313933449797332287
