N,GTD,GTF,PGD,PGF
100,0.00000000001759763238,0.00959910359233617783,0.00000000003310512212,0.01120085082948207855
200,0.00000000002754421387,0.00396644789725542068,0.00000000002286301773,0.01506731472909450531
300,0.00000000115850457717,0.12975634634494781494,0.00000000067362497809,0.28385990858078002930
